EMPLOYEE#,SURNAME,GENDER,FIRST_NAME,Person Clevel,Position Clevel,Clevel3 Description,Clevel4 Description2,Clevel6 Description3,TITLE,CATEGORY,CLASSIFICATION,STEP#,JOB#,COMMENCE_DATE,OCCUP_TERM_DATE,Person FTE,Position FTE,EMP_STATUS,POSITION#
00020529,,F,,1B13AC000,1B13AC000,Faculty of SABL,School of Science & Technology,School of Science & Technology Office,Administrative Assistant,GE,HEO4A,04,04,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000011398
00690314,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Casual General HEO4,GE,CAS4,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008744
00612212,,F,,1B12AA000,1B12AA000,Faculty of HASS & Education,Office of Faculty of HASS & Education,Office of Faculty of HASS & Education,Administrative Officer,GE,HEO5A,05,02,25/Jun/2018 ,31/Dec/2049 ,1,1,PE,0000011369
00023423,,F,,1B13AC000,1B13AC000,Faculty of SABL,School of Science & Technology,School of Science & Technology Office,Casual General HEO4,GE,CAS4,01,04,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008627
00024505,,F,,1N05AH000,1N05AH000,UNE Residential System,Duval College,Duval College,Head of College (Duval),EXEC,369,,01,13/Mar/2017 ,29/Apr/2019 ,1,1,TE,0000011646
00658943,,M,,1N01AC000,1N01AC000,Information Technology Services,IT - Client Services,IT - Client Services,Technical Manager - Audio Visual Services,GE,HEO8A,05,03,05/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000012008
00682371,,F,,1B14AA000,1B14AA000,Faculty of Medicine & Health,Office of Faculty of Medicine and Health,Office of Faculty of Medicine and Health,Placement Officer,GE,HEO6A,04,01,01/Jan/2018 ,31/Dec/2049 ,0.8,0.8,PE,0000012489
00689461,,F,,1B12AC010,1B12AC010,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - English,Casual Academic,AC,CA,01,03,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013993
00674662,,F,,1B12AB040,1B12AB040,Faculty of HASS & Education,School of Education,School of Education - Science Education,Lecturer in Science Education,AC,ATB,03,05,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000009522
00667909,,M,,1N03AC000,1N03AC000,Facilities Management Services,FMS - Operations,FMS - Operations,Plumbing Supervisor,GE,HEO5A,05,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000011219
00669525,,F,,1B14AA000,1B14AA000,Faculty of Medicine & Health,Office of Faculty of Medicine and Health,Office of Faculty of Medicine and Health,Administrative Assistant,GE,HEO4A,04,03,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000007552
00688967,,M,,1M01AE000,1M01AE000,Marketing and Public Affairs,M & PA - Future Students Team,M & PA - Future Students Team,Casual Student Rate 2,GE,HEOS2,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008944
00107039,,F,,1B13AB020,1B13AB020,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Animal Science,Associate Professor,AC,ATD,01,01,01/Jan/2018 ,24/Aug/2018 ,1,1,PE,0000008296
00614002,,F,,1B14AA000,1B14AA000,Faculty of Medicine & Health,Office of Faculty of Medicine and Health,Office of Faculty of Medicine and Health,Senior Administrative Officer - Psychology Clinic,GE,HEO5A,02,13,01/May/2018 ,31/Dec/2049 ,1,1,PE,0000013009
00656440,,M,,1B12AC150,1B12AC150,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - History,Associate Professor,AC,ATD,01,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000009232
00658310,,M,,1B13AC000,1B13AC000,Faculty of SABL,School of Science & Technology,School of Science & Technology Office,Faculty Resource and Project Manager,GE,HEO8A,02,01,30/May/2018 ,31/Dec/2049 ,1,1,PE,0000013525
00677030,,M,,1K01AE000,1K01AE000,Teaching and Learning,Teaching Support,Teaching Support,Learning Media Producer,GE,HEO7A,05,03,23/Dec/2016 ,31/Dec/2049 ,1,1,PE,0000013448
00680179,,M,,1M02AA000,1M02AA000,UNE International,UNE International,UNE International,Events & Community Engagement Officer (ELIS),GE,HEO5A,05,02,30/Mar/2018 ,31/Dec/2049 ,1,0.8,PE,0000012230
00688158,,M,,1B12AC130,1B12AC130,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Archaeology and Paleoanthropology,Casual Academic,AC,CA,01,03,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013301
00658298,,M,,1B14AD050,1B14AD050,Faculty of Medicine & Health,School of Health,School of Health - Social Work,Lecturer in Community Services,AC,ATB,06,08,08/Jan/2018 ,07/Jan/2020 ,1,1,TE,0000013967
00691586,,F,,1B13AC050,1B13AC050,Faculty of SABL,School of Science & Technology,School of S&T - Statistics,Associate Lecturer in Statistics,AC,ATA,04,02,18/Jun/2018 ,17/Jun/2019 ,1,1,TE,0000014121
00677224,,M,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Customer Service Officer,GE,HEO4A,04,03,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000009997
00691463,,F,,1B14AB000,1B14AB000,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine Office,Casual General HEO1,GE,CAS1,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011169
00681843,,M,,1B13AC020,1B13AC020,Faculty of SABL,School of Science & Technology,School of S&T - Physics & Electronics,Associate Professor,AC,ARDUF,02,02,17/May/2018 ,30/Jun/2021 ,1,1,TE,0000013434
00676697,,M,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Senior Lecturer in Psychology,AC,ATC,02,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000010761
00685544,,M,,1N04AB000,1N04AB000,UNE Life,Yarm Gwanga,Yarm Gwanga,Casual General HEO1,GE,CAS1,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008457
00009379,,F,,1N05AA000,1N05AA000,UNE Residential System,UNE Residential System,UNE Residential System,"Manager, Residential Services",GE,HEO8A,05,01,23/Dec/2016 ,31/Dec/2049 ,1,1,PE,0000011534
00678958,,M,,1N01AB000,1N01AB000,Information Technology Services,IT - Information Services,IT - Information Services,Solutions Analyst,GE,HEO6A,05,01,23/Dec/2016 ,31/Dec/2049 ,1,1,PE,0000011840
00671061,,F,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Causal General HEO 4,GE,CAS4,01,04,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013788
00684843,,F,,1B13AB020,1B13AB020,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Animal Science,Casual General HEO 5,GE,CAS5,01,03,03/Jul/2018 ,13/Jul/2018 ,0,0,CA,0000013319
00023512,,F,,1B14AA000,1B14AA000,Faculty of Medicine & Health,Office of Faculty of Medicine and Health,Office of Faculty of Medicine and Health,Administrative Officer,GE,HEO5A,05,03,05/Mar/2018 ,31/Dec/2049 ,1,1,PE,1945
00024790,,F,,1M02AA000,1M02AA000,UNE International,UNE International,UNE International,Senior Admissions Officer,GE,HEO6A,05,03,23/Dec/2016 ,31/Dec/2049 ,1,1,PE,0000011743
00089061,,F,,1N05AC000,1N05AC000,UNE Residential System,Austin College,Austin College,Office Manager,GE,HEO5A,05,02,23/Dec/2016 ,31/Dec/2049 ,1,1,PE,0000008488
00674861,,M,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Casual Academic,AC,CA,01,05,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000012376
00675599,,F,,1B12AB010,1B12AB010,Faculty of HASS & Education,School of Education,School of Education - Early Childhood,Lecturer in Early Childhood Education,AC,ATB,01,06,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000012924
00691671,,F,,1K00AA000,1K00AA000,Office of PVC Academic,Office of PVC Academic,Office of PVC Academic,Project Director Indigenous Research and Education Strategy,AC,ATC,04,01,03/Apr/2018 ,31/Dec/2020 ,1,1,TE,0000014095
00669708,,F,,1B01AF090,1B13AC060,Faculty of SABL,School of Science & Technology,School of S&T - Biomedical Science,Casual Academic,AC,CA,01,17,28/Nov/2017 ,08/Dec/2018 ,0,0,CA,0000013328
00662755,,F,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Casual Academic,AC,CA,01,37,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000012376
00689304,,F,,1B13AB000,1B13AB000,Faculty of SABL,School of Environmental & Rural Science,School of Environmental & Rural Science Office,International Research & Training Program Leader - Livestock Systems,AC,ATB,02,01,06/Feb/2018 ,31/Jan/2020 ,1,1,TE,0000012913
00023887,,F,,1B13AE000,1B13AE000,Faculty of SABL,UNE Business School,UNE Business School Office,Senior Administrative Assistant,GE,HEO5A,05,03,17/Jan/2018 ,31/Dec/2049 ,0.8,1,PE,0000011622
00673961,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Examinations Officer - Special Needs,GE,HEO5A,02,05,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000010483
00682114,,F,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Casual General HEO4,GE,CAS4,01,03,30/Jun/2018 ,31/Aug/2018 ,0,0,CA,0000013788
00684942,,F,,1B14AB000,1B14AB000,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine Office,Casual Student Rate 2,GE,HEOS2,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011169
00691004,,F,,1M06AA000,1M06AA000,UNE Sydney,UNE Sydney,UNE Sydney,Casual Student Rate 2,GE,HEOS2,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013065
00167350,,M,,1B13AB000,1B13AB000,Faculty of SABL,School of Environmental & Rural Science,School of Environmental & Rural Science Office,Professor,AC,ATE,01,01,01/Jan/2018 ,31/Dec/2049 ,0,1,PE,0000008297
00675480,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Senior Officer (Enrolment and Progression),GE,HEO5A,05,03,01/Jan/2018 ,30/Apr/2019 ,0.6,1,TE,0000013774
00690206,,F,,1K03AA000,1K03AA000,University Library,University Library,University Library,Casual Student Rate 2,GE,HEOS2,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008839
00682373,,F,,1B13AB020,1B13AB020,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Animal Science,Lecturer in Animal Science,AC,ATB,03,01,08/May/2018 ,07/May/2019 ,1,1,TE,0000008281
00678287,,F,,1B12AC040,1B12AC040,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Spanish,Casual Academic,AC,CA,01,03,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013284
00125839,,M,,1B00AA000,1B00AA000,Deputy Vice-Chancellor's Office,Office of Provost and Deputy Vice-Chancellor,Deputy Vice-Chancellor's Office,Technical Officer,GE,HEO5A,05,01,23/Dec/2016 ,31/Dec/2049 ,1,1,PE,0000008318
00689280,,F,,1B14AD050,1B14AD050,Faculty of Medicine & Health,School of Health,School of Health - Social Work,Lecturer in Social Work,AC,ATB,01,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000012172
00087995,,F,,1K03AC050,1K03AC050,University Library,Scholarly Resources,Information Resources Management,Senior Electronic Resources Officer,GE,HEO6A,02,01,18/Apr/2018 ,31/Dec/2049 ,1,1,PE,0000013628
00686665,,F,,1M02AA000,1M02AA000,UNE International,UNE International,UNE International,External Engagement Officer,GE,HEO6A,02,01,17/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000012762
00691414,,F,,1K03AA000,1K03AA000,University Library,University Library,University Library,Casual General Level 3,GE,CAS3,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008839
00681282,,M,,1N03AG000,1N03AB000,Facilities Management Services,FMS - Campus Services,FMS - Campus Services,Environmental Sustainability Manager,GE,HEO8A,04,01,01/Feb/2018 ,06/Jul/2018 ,1,1,PE,0000012769
00686624,,F,,1N04AB000,1N04AB000,UNE Life,Yarm Gwanga,Yarm Gwanga,General Assistant (Childcare),GE,HEO2A,01,02,19/May/2018 ,31/Dec/2049 ,1,1,PE,0000013970
00660832,,F,,1N01AB000,1N01AB000,Information Technology Services,IT - Information Services,IT - Information Services,Manager Online and Learning Applications,GE,HEO8A,04,02,20/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000013212
00670106,,F,,1G05AA000,1G05AA000,Corporate Planning and Analytics,Corporate Planning and Analytics,Corporate Planning and Analytics,Data Analyst,GE,HEO7A,02,12,16/Jun/2018 ,14/Dec/2018 ,0.8,0.8,TE,0000013985
00674571,,F,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Lecturer in Nursing,AC,ATB,01,06,17/Feb/2018 ,31/Dec/2049 ,1,1,PE,0000010826
00689468,,M,,1B12AC010,1B12AC010,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - English,Postdoctoral Research Fellow,AC,ARA,02,01,20/Mar/2018 ,19/Mar/2020 ,1,1,TE,0000013722
00691590,,M,,1B13AD010,1B13AD010,Faculty of SABL,School of Law,Law,Casual Academic,AC,CA,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008896
00655660,,M,,1B13AB060,1B13AB060,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Ecosystem Management,Associate Professor,AC,ATD,01,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000009058
00687259,,F,,1B12AC010,1B12AC010,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - English,Casual Academic,AC,CA,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013993
00682402,,M,,1B13AE010,1B13AE010,Faculty of SABL,UNE Business School,UNE Business School - Accounting & Finance,Casual Academic,AC,CA,01,09,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013334
00669266,,M,,1B14AB020,1B14AB020,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine - Pharmacy,Casual Academic,AC,CA,01,19,06/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013519
00682147,,M,,1B13AC030,1B13AC030,Faculty of SABL,School of Science & Technology,School of S&T - Computer Science,Lecturer in Computational Science,AC,ATB,06,05,01/Jan/2018 ,10/Dec/2018 ,1,1,TE,0000013043
00023190,,M,,1B13AC030,1B13AC030,Faculty of SABL,School of Science & Technology,School of S&T - Computer Science,Information Technology Officer,GE,HEO6A,05,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000009026
00657892,,F,,1G03AA000,1G03AA000,Strategic Procurement,Strategic Procurement,Strategic Procurement,Procurement Officer,GE,HEO5A,05,01,13/Feb/2017 ,31/Dec/2049 ,1,1,PE,722
00691614,,F,,1K01AA000,1K01AA000,Teaching and Learning,Teaching and Learning,Teaching and Learning,Casual Student Rate 1,GE,HEOS1,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008663
00165688,,F,,1N04AB000,1N04AB000,UNE Life,Yarm Gwanga,Yarm Gwanga,Child Care Worker,GE,HEO4A,04,02,23/Dec/2016 ,31/Dec/2049 ,1,1,PE,0000008112
00674599,,M,,1N01AB000,1N01AB000,Information Technology Services,IT - Information Services,IT - Information Services,Senior System Analyst and Technical Lead,GE,HEO7A,05,03,05/Feb/2018 ,31/Dec/2049 ,1,1,PE,0000014050
00679590,,M,,1B14AA000,1B14AA000,Faculty of Medicine & Health,Office of Faculty of Medicine and Health,Office of Faculty of Medicine and Health,Resource and Project Officer,GE,HEO5A,04,01,28/Mar/2018 ,31/Dec/2049 ,1,1,PE,0000013008
00662623,,M,,1N01AB000,1N01AB000,Information Technology Services,IT - Information Services,IT - Information Services,Senior Systems Analyst and Techncial Lead,GE,HEO7A,02,03,15/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000011179
00671021,,M,,1B13AE010,1B13AE010,Faculty of SABL,UNE Business School,UNE Business School - Accounting & Finance,Senior Lecturer in Accounting & Finance,AC,ATC,01,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000009334
00688366,,M,,1B13AB080,1B13AB080,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Zoology,Postdoctoral Research Fellow,AC,ARA,03,02,19/Jan/2018 ,18/Jan/2021 ,1,1,TE,0000013901
00675135,,F,,1B13AB060,1B13AB060,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Ecosystem Management,Casual Academic,AC,CA,02,14,19/Jun/2018 ,30/Sep/2018 ,0,0,CA,0000013314
00688394,,F,,1B13AC060,1B13AC060,Faculty of SABL,School of Science & Technology,School of S&T - Biomedical Science,Junior Research Fellow,AC,ARA,07,01,01/Jan/2018 ,27/Jul/2018 ,0.6,0.6,TE,0000013606
00663066,,M,,1B13AD010,1B13AD010,Faculty of SABL,School of Law,Law,Associate Lecturer in Law,AC,ATA,01,16,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000011717
00013433,,M,,1B14AB000,1B14AB000,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine Office,Casual General HEO 1,GE,CAS1,01,02,30/May/2018 ,08/Mar/2019 ,0,0,CA,0000011169
00131021,,F,,1B12AA000,1B12AA000,Faculty of HASS & Education,Office of Faculty of HASS & Education,Office of Faculty of HASS & Education,Partnerships and Professional Learning Support Officer,GE,HEO5A,05,04,25/Jun/2018 ,31/Dec/2049 ,1,1,PE,5324
00686893,,M,,1B13AB050,1B13AB050,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Earth Sciences,Lecturer in Earth Sciences,AC,ATB,02,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000012294
00689223,,F,,1B13AE030,1B13AE030,Faculty of SABL,UNE Business School,UNE Business School - Economics,Postdoctoral Research Fellow,AC,ARA,02,01,06/Mar/2018 ,05/Mar/2020 ,1,1,TE,0000013717
00691372,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Casual General HEO4,GE,CAS4,01,03,13/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008744
00613662,,F,,1G05AA000,1G05AA000,Corporate Planning and Analytics,Corporate Planning and Analytics,Corporate Planning and Analytics,"Manager, Corporate Planning & Performance",GE,HEO9A,04,04,19/Feb/2018 ,31/Dec/2049 ,1,1,PE,0000014049
00675515,,F,,1G01AD000,1G01AD000,Financial Services,Management Accounting,Management Accounting,Management Accountant,GE,HEO7A,05,01,23/Dec/2016 ,31/Dec/2049 ,0.6,0.5,PE,0000008331
00686505,,M,,1B13AC040,1B13AC040,Faculty of SABL,School of Science & Technology,School of S&T - Mathematics,Lecturer in Applied Mathematics,AC,ATB,01,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000013389
00685449,,F,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Clinical Nurse Educator - Nursing,AC,CNE,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008547
00660676,,M,,1B13AC040,1B13AC040,Faculty of SABL,School of Science & Technology,School of S&T - Mathematics,Professor,AC,ATE,01,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000010123
00662952,,F,,1B13AC040,1B13AC040,Faculty of SABL,School of Science & Technology,School of S&T - Mathematics,Associate Lecturer in Mathematics,AC,ATA,01,29,16/Jun/2018 ,31/Dec/2049 ,1,1,PE,0000013641
00020914,,F,,1B12AC070,1B12AC070,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - French,Casual Academic,AC,CA,01,21,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013287
00610236,,M,,1B12AB040,1B12AB040,Faculty of HASS & Education,School of Education,School of Education - Science Education,Lecturer in Mathematics Education,AC,ATB,01,06,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000013653
00660573,,M,,1N04AA000,1N04AA000,UNE Life,UNE Life Office,UNE Life Office,Director UNE Life,EXEC,369,,03,07/Jul/2017 ,22/Jun/2019 ,1,1,TE,0000012982
00682843,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Customer Service Officer (Admissions),GE,HEO5A,03,03,15/Jan/2018 ,31/Dec/2049 ,0.74286,1,PE,0000010005
00025404,,F,,1B12AC200,1B12AC200,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Linguistics,Senior Lecturer in Linguistics,AC,ATC,01,23,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000009248
00667323,,M,,1B13AC020,1B13AC020,Faculty of SABL,School of Science & Technology,School of S&T - Physics & Electronics,Senior Technical Officer (Precision Ag),GE,HEO6A,05,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000011046
00688806,,F,,1B12AB000,1B12AB000,Faculty of HASS & Education,School of Education,School of Education Office,Associate Professor,AC,ATD,01,01,01/Jan/2018 ,29/Sep/2019 ,0.2,0.2,TE,0000013643
00100797,,M,,1B13AA000,1B13AA000,Faculty of SABL,"Office of Faculty of Science, Ag, Business and Law","Office of Faculty of Science, Ag, Business and Law",Resource and Project Officer,GE,HEO5A,05,05,22/Jun/2018 ,31/Dec/2049 ,1,1,PE,0000013423
00129608,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Administrative Assistant,GE,HEO4A,04,01,01/Jan/2018 ,31/Dec/2049 ,0.8,1,PE,0000010000
00610974,,F,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Associate Professor,AC,ATD,01,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000008062
00072807,,F,,1K03AD030,1K03AD030,University Library,Client Services,Copyright Services,Senior Copyright Advisor,GE,HEO7A,05,01,26/May/2018 ,31/Dec/2049 ,1,1,PE,0000007985
00119236,,M,,1B13AC000,1B13AC000,Faculty of SABL,School of Science & Technology,School of Science & Technology Office,Livestock App Building - Senior Analyst Programmer,GE,HEO9A,03,10,01/Mar/2018 ,12/Apr/2019 ,1,1,TE,0000013472
00673932,,M,,1B12AC210,1B12AC210,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Sociology and Criminology,Professor of Sociology,AC,ATE,01,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000010090
00677005,,M,,1K01AA000,1K01AE000,Teaching and Learning,Teaching Support,Teaching Support,Learning Technologist,GE,HEO6A,05,01,23/Dec/2016 ,31/Dec/2049 ,1,1,PE,0000013445
00679417,,M,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Customer Service Officer,GE,HEO4A,03,05,14/Mar/2018 ,31/Dec/2049 ,1,1,PE,0000013528
00680457,,M,,1B14AC010,1B14AC010,Faculty of Medicine & Health,School of Psychology & Behavioural Science,Psychology & Behavioural Science - Psychology,Casual Academic,AC,CA,01,03,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000012376
00670109,,M,,1B12AC150,1B12AC150,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - History,Associate Professor in Modern European History,AC,ATD,03,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,2528
00676795,,F,,1B13AB000,1B13AB000,Faculty of SABL,School of Environmental & Rural Science,School of Environmental & Rural Science Office,Adminstrative Officer,GE,HEO5A,04,03,24/Apr/2018 ,31/Dec/2049 ,1,1,PE,0000011391
00613066,,M,,1M01AD000,1M01AD000,Marketing and Public Affairs,M & PA - Student Engagement,M & PA - Student Engagement,Schools Liaison Coordinator,GE,HEO6A,05,01,23/Dec/2016 ,31/Dec/2049 ,1,1,PE,0000007992
00675039,,F,,1K08AD000,1K08AD000,Student Success,Counselling & Careers,Counselling & Careers,Careers Officer,GE,HEO5A,05,01,04/Jun/2018 ,31/Dec/2049 ,1,1,PE,0000010629
00667785,,F,,1K08AD000,1K08AD000,Student Success,Counselling & Careers,Counselling & Careers,Student Support Officer,GE,HEO5A,05,05,29/Jan/2018 ,31/Dec/2049 ,0.8,1,PE,0000012699
00691634,,M,,1N01AE000,1N01AE000,Information Technology Services,IT - Strategy and Security,IT - Strategy and Security,"IT Security, Architecture and Governance Manager",GE,HEO9A,01,01,16/Jun/2018 ,31/Dec/2049 ,1,1,PE,0000012467
00689622,,F,,1B13AC000,1B13AC000,Faculty of SABL,School of Science & Technology,School of Science & Technology Office,Casual General HEO5,GE,CAS5,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008627
00691603,,M,,1B14AB000,1B14AB000,Faculty of Medicine & Health,School of Rural Medicine,School of Rural Medicine Office,Casual Student Rate 2,GE,HEOS2,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011169
00020517,,F,,1B12AB040,1B12AB040,Faculty of HASS & Education,School of Education,School of Education - Science Education,Associate Professor in Mathematics Education,AC,ATD,01,07,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000009524
00691294,,F,,1B14AC000,1B14AC000,Faculty of Medicine & Health,School of Psychology & Behavioural Science,School of Psychology & Behavioural Science,Casual Academic,AC,CA,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008425
00688336,,M,,1B13AB020,1B13AB020,Faculty of SABL,School of Environmental & Rural Science,School of E&RS - Animal Science,Research Fellow Animal Health Modelling,AC,ARB,01,01,01/Jan/2018 ,31/Aug/2018 ,1,1,TE,0000013460
00176325,,F,,1N06AA000,1N06AA000,Business Intelligence and Data Governance,Business Intelligence and Data Governance,Business Intelligence and Data Governance,Customer Support Officer,GE,HEO6A,05,02,23/Dec/2016 ,31/Dec/2049 ,1,1,PE,0000012625
00683915,,M,,1N03AC000,1N03AC000,Facilities Management Services,FMS - Operations,FMS - Operations,Electrician,GE,HEO4A,03,02,15/Feb/2018 ,31/Dec/2049 ,1,1,PE,0000013492
00666408,,M,,1B13AC060,1B13AC060,Faculty of SABL,School of Science & Technology,School of S&T - Biomedical Science,Professor of Mental Health/Biomedical Science,AC,ARE,01,04,28/May/2018 ,31/Aug/2020 ,0.8,0.8,PE,0000012881
00019770,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,"Director, Student Success",EXEC,369,,02,01/Jan/2018 ,03/Dec/2022 ,1,1,TE,0000010058
00668683,,F,,1B12AC120,1B12AC120,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Music,Casual Academic,AC,CA,02,03,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013293
00669134,,F,,1B12AC010,1B12AC010,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - English,Casual Academic,AC,CA,01,06,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013993
00679085,,F,,1B12AC050,1B12AC050,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Theatre Studies,Lecturer in Theatre Studies,AC,ATB,01,01,07/Jan/2018 ,31/Dec/2049 ,1,1,PE,407
00680351,,F,,1B12AC050,1B12AC050,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - Theatre Studies,Casual Academic,AC,CA,01,04,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013285
00104775,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Academic Program Coordinator,GE,HEO7A,05,01,01/Jan/2018 ,31/Dec/2049 ,1,1,PE,0000012253
00684880,,F,,1K08AA000,1K08AA000,Student Success,Student Success,Student Success,Casual General HEO4,GE,CAS4,01,03,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008744
